Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Daley Blind,nl NED,DF,34-272,,11,996.0,0.0,1.0,0.0,2.0,0.0,0.1,0.6,Girona
Arnau Martinez,es ESP,DF,21-225,,10,888.0,1.0,1.0,0.0,2.0,0.0,0.4,0.9,Girona
Bryan Gil,es ESP,"FW,MF",23-299,,10,859.0,2.0,3.0,0.0,2.0,0.0,1.5,2.7,Girona
Iván Martín,es ESP,MF,25-296,,10,832.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,Girona
Yangel Herrera,ve VEN,MF,26-327,,10,800.0,2.0,1.0,0.0,4.0,0.0,1.7,0.4,Girona
Abel Ruiz,es ESP,FW,24-313,,9,701.0,2.0,0.0,1.0,2.0,0.0,2.1,0.1,Girona
Oriol Romeu,es ESP,MF,33-073,,8,603.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Girona
Bojan Miovski,mk MKD,FW,25-165,,8,580.0,2.0,1.0,0.0,0.0,0.0,2.6,0.1,Girona
Donny van de Beek,nl NED,MF,27-232,,7,652.0,1.0,2.0,0.0,3.0,0.0,0.5,2.7,Girona
Ladislav Krejčí,cz CZE,DF,25-230,,7,640.0,2.0,0.0,0.0,3.0,0.0,1.1,0.0,Girona
Arnaut Danjuma,nl NED,"FW,MF",27-310,,7,574.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,Girona
Alejandro Francés,es ESP,DF,22-127,,7,556.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Girona
Viktor Tsyhankov,ua UKR,"FW,MF",27-021,,6,471.0,1.0,1.0,0.0,1.0,0.0,0.9,0.8,Girona
Yaser Asprilla,co COL,"FW,MF",21-017,,4,399.0,1.0,0.0,0.0,1.0,0.0,0.7,0.6,Girona
Juanpe,es ESP,DF,33-220,,3,271.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Girona
Jhon Solis,co COL,MF,20-064,,2,321.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Girona
Silvi Clúa,es ESP,MF,19-312,,2,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Gabriel Osei Misehouy,nl NED,"FW,MF",19-141,,1,188.0,1.0,0.0,0.0,0.0,0.0,0.9,0.3,Girona
Portu,es ESP,"FW,MF",32-199,,1,183.0,0.0,1.0,0.0,2.0,0.0,0.0,0.4,Girona
Cristhian Stuani,uy URU,FW,38-055,,0,229.0,4.0,1.0,2.0,1.0,0.0,4.4,0.1,Girona
Iker Almena,es ESP,"FW,DF",20-216,,0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,Girona
Papa Ba,es ESP,MF,20-085,,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Kim Minsu,kr KOR,"MF,FW",18-322,,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Ferrán Ruiz,es ESP,MF,21-224,,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Juan Carlos,es ESP,GK,36-321,,0,,0.0,0.0,0.0,0.0,1.0,,,Girona
Aleksandar Andreev,bg BUL,GK,18-256,,0,,,,,,,,,Girona
Ricard Artero,es ESP,MF,21-305,,0,,,,,,,,,Girona
Dawda Camara,mr MTN,FW,22-032,,0,,,,,,,,,Girona
Enric García,es ESP,MF,18-282,,0,,,,,,,,,Girona
Jastin García,es ESP,FW,20-326,,0,,,,,,,,,Girona
Lucas García,es ESP,GK,20-340,,0,,,,,,,,,Girona
Pau López,es ESP,GK,29-359,,0,,,,,,,,,Girona
Raúl Martínez,es ESP,MF,22-287,,0,,,,,,,,,Girona
Joel Roca,es ESP,FW,19-182,,0,,,,,,,,,Girona
Toni Villa,es ESP,"FW,MF",29-334,,0,,,,,,,,,Girona
Squad Total,,,27.6,,165,1350.0,21.0,15.0,3.0,35.0,1.0,20.0,14.8,Girona
Opponent Total,,,27.3,,165,1350.0,20.0,17.0,0.0,36.0,2.0,16.0,11.6,Girona
Álex Remiro,es ESP,GK,29-257,,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Martín Zubimendi,es ESP,MF,25-308,,14,1305.0,1.0,1.0,0.0,2.0,0.0,1.4,0.6,Real-Sociedad
Igor Zubeldia,es ESP,DF,27-251,,13,1115.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,Real-Sociedad
Sergio Gómez,es ESP,"MF,DF",24-093,,12,1113.0,0.0,3.0,0.0,1.0,0.0,0.2,4.6,Real-Sociedad
Mikel Oyarzabal,es ESP,"FW,MF",27-229,,12,863.0,3.0,1.0,2.0,2.0,1.0,4.0,0.7,Real-Sociedad
Takefusa Kubo,jp JPN,"MF,FW",23-185,,11,1018.0,3.0,0.0,0.0,1.0,0.0,1.8,2.0,Real-Sociedad
Jon Aramburu,ve VEN,DF,22-136,,11,927.0,0.0,0.0,0.0,4.0,0.0,0.2,0.8,Real-Sociedad
Nayef Aguerd,ma MAR,DF,28-251,,11,919.0,0.0,0.0,0.0,3.0,0.0,1.9,0.1,Real-Sociedad
Luka Sučić,hr CRO,MF,22-089,,10,795.0,1.0,1.0,0.0,1.0,0.0,1.1,1.0,Real-Sociedad
Brais Méndez,es ESP,MF,27-334,,9,771.0,1.0,1.0,0.0,3.0,0.0,1.6,1.6,Real-Sociedad
Javi López,es ESP,DF,22-256,,8,716.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,Real-Sociedad
Sheraldo Becker,sr SUR,"MF,FW",29-301,,7,630.0,1.0,0.0,0.0,0.0,0.0,1.4,0.9,Real-Sociedad
Ander Barrenetxea,es ESP,"MF,FW",22-345,,6,550.0,0.0,1.0,0.0,2.0,0.0,1.0,0.9,Real-Sociedad
Beñat Turrientes,es ESP,MF,22-310,,6,516.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,Real-Sociedad
Jon Pacheco,es ESP,DF,23-333,,4,386.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Real-Sociedad
Hamari Traoré,ml MLI,DF,32-314,,4,311.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,Real-Sociedad
Orri Steinn Óskarsson,is ISL,FW,20-099,,3,323.0,2.0,0.0,0.0,0.0,0.0,2.7,0.0,Real-Sociedad
Aihen Muñoz,es ESP,DF,27-112,,3,318.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Real-Sociedad
Aritz Elustondo,es ESP,DF,30-253,,3,282.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Real-Sociedad
Umar Sadiq,ng NGA,FW,27-308,,2,227.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,Real-Sociedad
Urko González,es ESP,MF,23-261,,1,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Real-Sociedad
Jon Martin,es ESP,DF,18-340,,0,90.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Real-Sociedad
Olasagasti,es ESP,MF,24-112,,0,87.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Sociedad
Pablo Marín,es ESP,MF,21-156,,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Álvaro Odriozola,es ESP,DF,28-358,,0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Real-Sociedad
Jon Magunacelaya,es ESP,MF,24-146,,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Sociedad
Egoitz Arana,es ESP,GK,22-291,,0,,,,,,,,,Real-Sociedad
Aitor Fraga,es ESP,GK,21-269,,0,,,,,,,,,Real-Sociedad
Unai Marrero,es ESP,GK,23-058,,0,,,,,,,,,Real-Sociedad
Squad Total,,,25.9,,165,1350.0,12.0,9.0,2.0,33.0,1.0,18.3,14.4,Real-Sociedad
Opponent Total,,,27.2,,165,1350.0,11.0,6.0,4.0,33.0,0.0,15.4,8.8,Real-Sociedad
Rui Silva,pt POR,GK,30-303,15.0,15,1350.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Real-Betis
Diego Llorente,es ESP,DF,31-112,14.0,14,1224.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,Real-Betis
Abde Ezzalzouli,ma MAR,"FW,MF",22-355,15.0,12,1052.0,1.0,0.0,0.0,1.0,0.0,5.6,0.7,Real-Betis
Romain Perraud,fr FRA,DF,27-075,14.0,11,1017.0,0.0,0.0,0.0,4.0,0.0,0.3,0.5,Real-Betis
Pablo Fornals,es ESP,"MF,FW",28-288,13.0,11,952.0,1.0,0.0,0.0,2.0,0.0,1.2,1.9,Real-Betis
Natan,br BRA,DF,23-304,12.0,9,819.0,0.0,0.0,0.0,2.0,1.0,0.1,0.5,Real-Betis
Sergi Altimira,es ESP,MF,23-103,12.0,9,818.0,0.0,1.0,0.0,2.0,0.0,0.5,0.9,Real-Betis
Vitor Roque,br BRA,FW,19-282,12.0,9,755.0,3.0,0.0,0.0,0.0,0.0,4.6,0.9,Real-Betis
Marc Roca,es ESP,MF,28-010,9.0,9,729.0,0.0,1.0,0.0,3.0,0.0,0.5,0.4,Real-Betis
Marc Bartra,es ESP,DF,33-326,8.0,7,656.0,2.0,0.0,0.0,1.0,0.0,0.7,0.0,Real-Betis
Youssouf Sabaly,sn SEN,DF,31-276,9.0,7,647.0,0.0,0.0,0.0,1.0,0.0,0.1,0.4,Real-Betis
Aitor Ruibal,es ESP,"FW,DF",28-259,12.0,7,558.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0,Real-Betis
Giovani Lo Celso,ar ARG,MF,28-241,9.0,6,617.0,5.0,1.0,1.0,1.0,0.0,2.2,2.3,Real-Betis
Johnny Cardoso,us USA,MF,23-077,9.0,6,565.0,0.0,1.0,0.0,1.0,0.0,0.7,0.8,Real-Betis
Héctor Bellerín,es ESP,DF,29-262,7.0,6,524.0,0.0,1.0,0.0,1.0,0.0,0.2,2.0,Real-Betis
Ezequiel Ávila,ar ARG,FW,30-304,13.0,4,451.0,2.0,0.0,0.0,4.0,0.0,1.3,0.8,Real-Betis
Ricardo Rodríguez,ch SUI,DF,32-103,6.0,4,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Real-Betis
William Carvalho,pt POR,MF,32-243,4.0,4,247.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Betis
Iker Losada,es ESP,"MF,FW",23-127,10.0,3,336.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,Real-Betis
Cédric Bakambu,cd COD,FW,33-239,9.0,2,272.0,0.0,1.0,0.0,1.0,0.0,1.2,0.2,Real-Betis
Assane Diao,es ESP,FW,19-090,7.0,2,215.0,0.0,2.0,0.0,0.0,0.0,0.5,1.2,Real-Betis
Juanmi,es ESP,"FW,MF",31-200,8.0,2,190.0,0.0,0.0,0.0,2.0,0.0,0.6,0.3,Real-Betis
Nabil Fekir,fr FRA,MF,31-141,2.0,2,180.0,0.0,1.0,0.0,0.0,0.0,0.7,0.5,Real-Betis
Carlos Guirao,es ESP,MF,21-223,2.0,2,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Rodri,es ESP,FW,24-204,3.0,1,118.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Real-Betis
Jesus Rodríguez,es ESP,FW,19-015,1.0,1,82.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Real-Betis
Mateo Flores,es ESP,MF,20-243,2.0,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Betis
Adrián,es ESP,GK,37-338,0.0,0,,0.0,0.0,0.0,2.0,0.0,,,Real-Betis
Alcázar,es ESP,DF,22-148,0.0,0,,,,,,,,,Real-Betis
Pablo Busto,es ESP,DF,19-082,0.0,0,,,,,,,,,Real-Betis
Manu González,es ESP,GK,17-232,0.0,0,,,,,,,,,Real-Betis
Nobel Mendy,fr FRA,DF,20-094,0.0,0,,,,,,,,,Real-Betis
Fran Vieites,es ESP,GK,25-213,0.0,0,,,,,,,,,Real-Betis
Squad Total,,,27.7,15.0,165,1350.0,14.0,10.0,1.0,31.0,1.0,22.0,16.2,Real-Betis
Opponent Total,,,27.5,15.0,165,1350.0,17.0,10.0,3.0,38.0,2.0,19.0,13.9,Real-Betis
Carmona,es ESP,DF,22-312,,15,1322.0,0.0,0.0,0.0,3.0,0.0,0.3,0.9,Sevilla
Dodi Lukebakio,be BEL,FW,27-073,,14,1181.0,6.0,0.0,1.0,1.0,0.0,4.7,1.1,Sevilla
Nemanja Gudelj,rs SRB,"MF,DF",33-020,,12,1080.0,0.0,0.0,0.0,3.0,0.0,0.2,0.3,Sevilla
Adrià Pedrosa,es ESP,DF,26-207,,12,1007.0,0.0,1.0,0.0,4.0,0.0,0.3,0.6,Sevilla
Isaac Romero,es ESP,FW,24-202,,12,978.0,0.0,2.0,0.0,4.0,0.0,2.2,1.3,Sevilla
Ørjan Nyland,no NOR,GK,34-087,,11,963.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,Sevilla
Loïc Bade,fr FRA,DF,24-239,,10,921.0,0.0,1.0,0.0,3.0,0.0,0.2,0.6,Sevilla
Lucien Agoume,fr FRA,MF,22-301,,8,690.0,0.0,0.0,0.0,1.0,1.0,0.1,0.6,Sevilla
Peque,es ESP,"MF,FW",22-063,,8,639.0,0.0,0.0,0.0,1.0,0.0,1.3,1.0,Sevilla
Djibril Sow,ch SUI,MF,27-304,,7,656.0,1.0,0.0,0.0,3.0,0.0,1.6,0.4,Sevilla
Albert Sambi Lokonga,be BEL,MF,25-045,,7,651.0,0.0,1.0,0.0,1.0,0.0,0.3,0.4,Sevilla
Kike Salas,es ESP,DF,22-227,,6,558.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Sevilla
Chidera Ejuke,ng NGA,"FW,MF",26-339,,6,543.0,1.0,0.0,0.0,0.0,0.0,0.7,1.3,Sevilla
Tanguy Nianzou,fr FRA,DF,22-182,,6,518.0,0.0,0.0,0.0,3.0,1.0,0.2,0.0,Sevilla
Juanlu Sánchez,es ESP,"MF,DF",21-113,,5,490.0,1.0,1.0,0.0,3.0,1.0,0.9,0.2,Sevilla
Marcão,br BRA,DF,28-184,,5,456.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,Sevilla
Álvaro Fernández,es ESP,GK,26-237,,4,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Sevilla
Kelechi Iheanacho,ng NGA,FW,28-064,,4,354.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,Sevilla
Saúl Ñíguez,es ESP,MF,30-015,,4,347.0,0.0,2.0,0.0,1.0,1.0,0.8,0.8,Sevilla
Valentín Barco,ar ARG,"DF,FW",20-136,,3,288.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,Sevilla
Jesús Navas,es ESP,"FW,MF",39-015,,2,328.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,Sevilla
Lucas Ocampos,ar ARG,FW,30-148,,2,175.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,Sevilla
Stanis Idumbo,be BEL,FW,19-160,,2,116.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,Sevilla
Suso,es ESP,"FW,MF",31-017,,0,142.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,Sevilla
Israel Domínguez,es ESP,FW,21-213,,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sevilla
Gonzalo Montiel,ar ARG,"MF,DF",27-340,,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sevilla
Mateo Mejía,es ESP,FW,21-250,,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sevilla
Matías Árbol,es ESP,GK,22-085,,0,,,,,,,,,Sevilla
Manu Bueno,es ESP,MF,20-132,,0,,,,,,,,,Sevilla
Pablo Cruz,es ESP,MF,20-330,,0,,,,,,,,,Sevilla
Alberto López,es ESP,GK,21-026,,0,,,,,,,,,Sevilla
Alberto López,es ESP,MF,19-234,,0,,,,,,,,,Sevilla
Ramón Martínez,es ESP,DF,22-045,,0,,,,,,,,,Sevilla
Pedro Ortiz,es ESP,MF,24-109,,0,,,,,,,,,Sevilla
Squad Total,,,26.5,,165,1350.0,11.0,9.0,1.0,38.0,5.0,16.9,11.6,Sevilla
Opponent Total,,,27.2,,165,1350.0,18.0,10.0,4.0,33.0,2.0,19.4,12.4,Sevilla
Óscar Mingueza,es ESP,"MF,DF",25-207,14.0,14,1095.0,2.0,5.0,0.0,3.0,0.0,0.6,4.3,Celta-Vigo
Carl Starfelt,se SWE,DF,29-188,14.0,12,1096.0,1.0,0.0,0.0,2.0,0.0,0.3,0.1,Celta-Vigo
Iago Aspas,es ESP,"FW,MF",37-127,14.0,12,1068.0,5.0,3.0,2.0,4.0,1.0,5.2,2.2,Celta-Vigo
Hugo Álvarez,es ESP,"MF,DF",21-157,15.0,11,1044.0,2.0,1.0,0.0,4.0,0.0,1.6,0.6,Celta-Vigo
Vicente Guaita,es ESP,GK,37-331,11.0,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
Fran Beltrán,es ESP,MF,25-307,11.0,10,826.0,1.0,0.0,0.0,1.0,0.0,0.3,0.8,Celta-Vigo
Marcos Alonso,es ESP,DF,33-344,11.0,9,901.0,0.0,0.0,0.0,3.0,0.0,0.5,0.2,Celta-Vigo
Borja Iglesias,es ESP,FW,31-324,15.0,9,748.0,4.0,0.0,0.0,0.0,0.0,3.7,0.7,Celta-Vigo
Jonathan Bamba,ci CIV,"FW,MF",28-255,10.0,9,718.0,0.0,0.0,0.0,1.0,0.0,0.8,1.3,Celta-Vigo
Javi Rodríguez,es ESP,DF,21-163,14.0,8,873.0,1.0,1.0,0.0,3.0,0.0,0.4,0.7,Celta-Vigo
Ilaix Moriba,gn GUI,MF,21-322,12.0,7,602.0,0.0,0.0,0.0,5.0,1.0,0.2,0.8,Celta-Vigo
Hugo Sotelo,es ESP,MF,20-353,11.0,7,598.0,0.0,0.0,0.0,4.0,0.0,0.1,0.5,Celta-Vigo
Javier Manquillo,es ESP,DF,30-215,9.0,7,494.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Celta-Vigo
Damián Rodríguez,es ESP,MF,21-264,11.0,6,622.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,Celta-Vigo
Anastasios Douvikas,gr GRE,FW,25-126,15.0,6,603.0,3.0,0.0,0.0,2.0,0.0,4.1,0.2,Celta-Vigo
Williot Swedberg,se SWE,"FW,MF",20-309,13.0,5,533.0,2.0,3.0,0.0,1.0,0.0,2.9,1.8,Celta-Vigo
Jailson Siqueira,br BRA,"DF,MF",29-090,6.0,5,451.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Celta-Vigo
Iván Villar,es ESP,GK,27-150,4.0,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
Carlos Dominguez,es ESP,DF,23-299,6.0,4,344.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Celta-Vigo
Sergio Carreira,es ESP,"MF,DF",24-054,4.0,3,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Celta-Vigo
Alfon,es ESP,"FW,MF",25-216,8.0,2,257.0,1.0,0.0,0.0,0.0,1.0,1.5,0.8,Celta-Vigo
Pablo Durán,es ESP,"FW,MF",23-195,6.0,2,186.0,0.0,1.0,0.0,0.0,0.0,0.1,0.5,Celta-Vigo
Mihailo Ristić,rs SRB,"MF,DF",29-036,2.0,2,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
Franco Cervi,ar ARG,DF,30-194,1.0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
Joseph Aidoo,gh GHA,DF,29-068,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
Tadeo Allende,ar ARG,FW,25-290,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celta-Vigo
César Fernández,es ESP,GK,20-313,0.0,0,,,,,,,,,Celta-Vigo
Fer López,,MF,,0.0,0,,,,,,,,,Celta-Vigo
Marc Vidal,es ESP,GK,24-296,0.0,0,,,,,,,,,Celta-Vigo
Squad Total,,,27.6,15.0,165,1350.0,22.0,14.0,2.0,36.0,3.0,22.3,16.8,Celta-Vigo
Opponent Total,,,26.9,15.0,165,1350.0,25.0,21.0,0.0,38.0,3.0,18.0,14.0,Celta-Vigo
Florian Lejeune,fr FRA,DF,33-200,14.0,14,1255.0,0.0,1.0,0.0,2.0,0.0,0.7,0.2,Rayo-Vallecano
Abdul Mumin,gh GHA,DF,26-183,13.0,13,1083.0,1.0,1.0,0.0,4.0,1.0,0.3,0.2,Rayo-Vallecano
Andrei Ratiu,ro ROU,DF,26-169,12.0,12,1069.0,1.0,1.0,0.0,1.0,0.0,1.2,1.8,Rayo-Vallecano
Jorge de Frutos,es ESP,"MF,FW",27-290,14.0,11,982.0,3.0,1.0,0.0,1.0,0.0,1.6,1.5,Rayo-Vallecano
Óscar Valentín,es ESP,MF,30-108,14.0,11,967.0,0.0,0.0,0.0,1.0,0.0,0.3,0.2,Rayo-Vallecano
Augusto Batalla,ar ARG,GK,28-220,10.0,10,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Rayo-Vallecano
Álvaro García,es ESP,"MF,FW",32-040,12.0,9,814.0,1.0,0.0,0.0,3.0,0.0,1.8,1.2,Rayo-Vallecano
Isaac Palazón Camacho,es ESP,"FW,MF",29-345,14.0,9,782.0,1.0,1.0,0.0,1.0,0.0,1.9,1.1,Rayo-Vallecano
Sergio Camello,es ESP,FW,23-300,14.0,9,728.0,2.0,0.0,0.0,1.0,0.0,3.1,0.9,Rayo-Vallecano
Unai López,es ESP,MF,29-037,12.0,9,664.0,2.0,0.0,0.0,5.0,1.0,0.4,0.3,Rayo-Vallecano
Adri Embarba,es ESP,"FW,MF",32-213,13.0,8,660.0,0.0,1.0,0.0,2.0,0.0,1.0,1.1,Rayo-Vallecano
Pep Chavarría,es ESP,DF,26-240,10.0,7,653.0,0.0,1.0,0.0,1.0,0.0,0.4,0.2,Rayo-Vallecano
Iván Balliu,al ALB,DF,32-340,10.0,6,593.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,Rayo-Vallecano
Randy Nteka,ao ANG,FW,27-000,9.0,5,425.0,1.0,0.0,0.0,1.0,0.0,0.5,0.3,Rayo-Vallecano
Pathé Ciss,sn SEN,MF,30-265,11.0,4,461.0,0.0,1.0,0.0,3.0,0.0,0.3,0.7,Rayo-Vallecano
Gerard Gumbau,es ESP,MF,29-354,10.0,4,450.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0,Rayo-Vallecano
Cárdenas,es ESP,GK,27-253,4.0,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rayo-Vallecano
Alfonso Espino,uy URU,DF,32-336,4.0,4,304.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Rayo-Vallecano
Óscar Trejo,ar ARG,"MF,FW",36-224,5.0,2,167.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,Rayo-Vallecano
James Rodríguez,co COL,"MF,FW",33-147,6.0,1,140.0,0.0,0.0,0.0,1.0,0.0,0.3,0.2,Rayo-Vallecano
Aridane Hernández,es ESP,DF,35-258,3.0,1,114.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Rayo-Vallecano
Pedro Díaz,es ESP,"MF,DF",26-184,5.0,1,94.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,Rayo-Vallecano
Sergi Guardiola,es ESP,FW,33-191,5.0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Rayo-Vallecano
Etienne Eto'o,cm CMR,FW,22-110,0.0,0,,,,,,,,,Rayo-Vallecano
Pelayo Fernandez,es ESP,DF,21-221,0.0,0,,,,,,,,,Rayo-Vallecano
Marco de las Sías,es ESP,DF,18-343,0.0,0,,,,,,,,,Rayo-Vallecano
Joni Montiel,es ESP,"FW,MF",26-094,0.0,0,,,,,,,,,Rayo-Vallecano
Morro,es ESP,GK,24-086,0.0,0,,,,,,,,,Rayo-Vallecano
Raúl de Tomás,es ESP,FW,30-050,0.0,0,,,,,,,,,Rayo-Vallecano
Squad Total,,,29.5,14.0,154,1260.0,12.0,9.0,0.0,34.0,2.0,15.2,11.7,Rayo-Vallecano
Opponent Total,,,27.1,14.0,154,1260.0,15.0,13.0,0.0,27.0,0.0,16.1,12.8,Rayo-Vallecano
Kirian Rodríguez,es ESP,MF,28-276,,14,1169.0,0.0,3.0,0.0,2.0,0.0,1.3,1.0,Las-Palmas
Jasper Cillessen,nl NED,GK,35-228,,13,1139.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Las-Palmas
Alberto Moleiro,es ESP,"FW,MF",21-067,,13,1134.0,4.0,0.0,0.0,3.0,0.0,3.0,1.7,Las-Palmas
Álex Suárez,es ESP,DF,31-263,,13,1073.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,Las-Palmas
Álex Muñoz,es ESP,DF,30-129,,11,920.0,3.0,0.0,0.0,1.0,0.0,0.7,0.4,Las-Palmas
Scott McKenna,sct SCO,DF,28-024,,10,908.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,Las-Palmas
Fábio Silva,pt POR,"FW,MF",22-140,,10,808.0,5.0,1.0,1.0,4.0,0.0,3.2,0.2,Las-Palmas
Javier Muñoz,es ESP,MF,29-282,,9,915.0,0.0,2.0,0.0,1.0,0.0,0.5,1.2,Las-Palmas
Viti,es ESP,DF,27-081,,9,859.0,0.0,1.0,0.0,3.0,0.0,0.0,0.7,Las-Palmas
Dario Essugo,pt POR,MF,19-267,,9,759.0,1.0,0.0,0.0,4.0,0.0,0.2,0.1,Las-Palmas
Sandro Ramírez,es ESP,"FW,MF",29-150,,9,719.0,4.0,2.0,0.0,2.0,0.0,1.4,1.2,Las-Palmas
José Campaña,es ESP,MF,31-189,,8,537.0,0.0,1.0,0.0,3.0,0.0,0.1,0.5,Las-Palmas
Oliver McBurnie,sct SCO,FW,28-185,,7,714.0,0.0,3.0,0.0,0.0,0.0,1.0,1.6,Las-Palmas
Mika Màrmol,es ESP,DF,22-157,,7,599.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,Las-Palmas
Marvin,es ESP,"DF,FW",24-156,,5,427.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,Las-Palmas
Juan Herzog,es ESP,DF,21-207,,4,377.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Las-Palmas
Manuel Fuster,es ESP,"FW,MF",27-045,,3,293.0,1.0,0.0,0.0,0.0,0.0,0.3,0.5,Las-Palmas
Adnan Januzaj,be BEL,"FW,MF",29-305,,3,256.0,0.0,1.0,0.0,2.0,0.0,0.3,0.4,Las-Palmas
Jaime Mata,es ESP,FW,36-043,,2,265.0,0.0,0.0,0.0,3.0,0.0,0.9,0.0,Las-Palmas
Enzo Loiodice,fr FRA,MF,24-009,,2,257.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Las-Palmas
Dinko Horkaš,hr CRO,GK,25-271,,2,211.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Las-Palmas
Benito Ramírez,es ESP,"DF,MF",29-148,,1,279.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,Las-Palmas
Daley Sinkgraven,nl NED,DF,29-155,,1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las-Palmas
Marc Cardona,es ESP,FW,29-151,,0,68.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Las-Palmas
Fabio González,es ESP,MF,27-298,,0,53.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Las-Palmas
